"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0091,10939,0.0066,15000,0.0024,0.0012,0.1226,2023-10-25 23:11:45,3,"Ben Simmons_free_throw","Loss",0.025,-0.025
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0539,1756,0.0345,2800,0.0194,0.01,1.005,2023-10-25 20:46:03,1,"Ben Simmons_other_fg","Loss",1.005,-1.005
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0541,1750,0.0312,3100,0.0228,0.0118,1.1773,2023-10-25 23:11:45,3,"Ben Simmons_other_fg","Loss",0.1723,-0.1723
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0079,12532,0.004,25000,0.0039,0.002,0.1974,2023-10-25 20:46:03,1,"Ben Simmons_three_point","Loss",0.1974,-0.1974
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0079,12492,0.004,25000,0.004,0.002,0.1987,2023-10-25 23:11:45,3,"Ben Simmons_three_point","Loss",0.0013,-0.0013
2023-10-25,"Draft Kings","CLE @ BKN","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.1048,854,0.1,900,0.0048,0.0027,0.2659,2023-10-25 20:46:03,1,"Ben Simmons_two_point","Loss",0.2659,-0.2659
2023-10-25,"Draft Kings","CLE @ BKN","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.105,852,0.1,900,0.005,0.0028,0.2797,2023-10-25 23:11:45,3,"Ben Simmons_two_point","Loss",0.0138,-0.0138
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0226,4316,0.0222,4400,4e-04,2e-04,0.0217,2023-10-25 20:46:03,1,"Darius Garland_layup","Loss",0.0217,-0.0217
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0078,12700,0.004,25000,0.0038,0.0019,0.1922,2023-10-25 20:46:03,1,"Evan Mobley_three_point","Loss",0.1922,-0.1922
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0087,11362,0.0076,13000,0.0011,5e-04,0.055,2023-10-25 23:11:45,1,"Max Strus_other_fg","Loss",0.055,-0.055
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0067,14775,0.004,25000,0.0027,0.0014,0.1375,2023-10-25 20:46:03,1,"Nic Claxton_three_point","Loss",0.1375,-0.1375
