TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,SEASON_YEAR
,203090,Maurice,Harkless,Maurice Harkless,SF,79.25,6' 7.25'',80.75,6' 8.75'',206.6,84.0,7' 0'',102.5,8' 6.5'',5.3,9.25,10.25,2012-13
,203089,John,Henson,John Henson,PF,81.0,6' 9'',82.5,6' 10.5'',216.0,89.0,7' 5'',112.0,9' 4'',8.6,9.25,10.0,2012-13
,203189,Tu,Holloway,Tu Holloway,PG,70.5,5' 10.5'',71.75,5' 11.75'',186.8,77.5,6' 5.5'',94.5,7' 10.5'',8.5,8.75,10.0,2012-13
,203133,Robbie,Hummel,Robbie Hummel,SF,79.25,6' 7.25'',80.5,6' 8.5'',218.0,80.5,6' 8.5'',102.0,8' 6'',9.4,8.5,9.5,2012-13
,203108,Bernard,James,Bernard James,PF,80.75,6' 8.75'',82.0,6' 10'',229.8,87.0,7' 3'',108.5,9' 0.5'',5.0,9.0,9.25,2012-13
,203098,John,Jenkins,John Jenkins,SG,75.25,6' 3.25'',76.25,6' 4.25'',212.0,80.5,6' 8.5'',98.0,8' 2'',7.1,9.0,9.0,2012-13
,203111,Orlando,Johnson,Orlando Johnson,SG,75.75,6' 3.75'',77.25,6' 5.25'',223.8,83.25,6' 11.25'',99.0,8' 3'',7.0,9.0,9.5,2012-13
,203130,Darius,Johnson-Odom,Darius Johnson-Odom,SG,73.5,6' 1.5'',75.0,6' 3'',212.0,79.0,6' 7'',96.0,8' 0'',7.0,8.75,8.75,2012-13
,203093,Terrence,Jones,Terrence Jones,PF-SF,80.25,6' 8.25'',81.5,6' 9.5'',252.0,86.25,7' 2.25'',107.0,8' 11'',7.7,9.0,10.0,2012-13
,203158,Kevin,Jones,Kevin Jones,PF,78.25,6' 6.25'',79.5,6' 7.5'',251.2,85.5,7' 1.5'',105.0,8' 9'',11.2,9.0,7.75,2012-13
,203103,Perry,Jones,Perry Jones,PF-SF,82.25,6' 10.25'',83.25,6' 11.25'',233.8,85.75,7' 1.75'',107.0,8' 11'',4.6,9.25,9.5,2012-13
,203126,Kris,Joseph,Kris Joseph,SG,78.0,6' 6'',79.0,6' 7'',215.0,83.0,6' 11'',104.0,8' 8'',8.6,9.0,9.0,2012-13
,203077,Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,SF,77.75,6' 5.75'',79.5,6' 7.5'',232.8,84.0,7' 0'',104.5,8' 8.5'',7.0,9.0,10.25,2012-13
,203117,Doron,Lamb,Doron Lamb,SG-PG,75.25,6' 3.25'',76.75,6' 4.75'',199.4,78.75,6' 6.75'',98.5,8' 2.5'',6.7,8.5,8.75,2012-13
,203087,Jeremy,Lamb,Jeremy Lamb,SG,76.0,6' 4'',77.25,6' 5.25'',179.2,83.0,6' 11'',102.0,8' 6'',4.5,8.75,9.25,2012-13
,203086,Meyers,Leonard,Meyers Leonard,C,83.75,6' 11.75'',85.25,7' 1.25'',249.8,87.0,7' 3'',108.0,9' 0'',5.7,9.25,11.0,2012-13
,203081,Damian,Lillard,Damian Lillard,PG,73.75,6' 1.75'',74.75,6' 2.75'',188.8,79.75,6' 7.75'',95.5,7' 11.5'',5.9,8.75,9.75,2012-13
,203159,Scott,Machado,Scott Machado,PG,73.0,6' 1'',74.0,6' 2'',205.8,76.0,6' 4'',94.5,7' 10.5'',5.8,8.5,9.5,2012-13
,203088,Kendall,Marshall,Kendall Marshall,PG,75.25,6' 3.25'',76.25,6' 4.25'',198.4,77.5,6' 5.5'',96.0,8' 0'',7.8,8.5,9.0,2012-13
,203097,Fab,Melo,Fab Melo,C,82.75,6' 10.75'',84.0,7' 0'',255.0,86.5,7' 2.5'',110.0,9' 2'',9.2,9.0,10.0,2012-13
